place,address
らんらんらんど盛岡南,岩手県盛岡市津志田西２丁目１７−５０盛岡南ショッピングセンターサンサ店１Ｆ
モーリーファンタジー一関,岩手県一関市山目字泥田８９−１イオン２Ｆ
イオンスーパーセンター釜石,岩手県釜石市港町二丁目１番１号
イオンスーパーセンター盛岡渋民,岩手県盛岡市玉山区渋民字鶴飼２０番地１
イオンスーパーセンター金ヶ崎,岩手県胆沢郡金ヶ崎町三ケ尻荒巻１６５
イオンスーパーセンター水沢桜屋敷,岩手県奥州市水沢区字桜屋敷西２８番１０
ＳＯＹＵ　Ｇａｍｅ　Ｆｉｅｌｄ釜石店,岩手県釜石市港町二丁目１番１号イオンタウン釜石店３Ｆ
モーリーファンタジースーパーセンター一関,岩手県一関市狐禅寺字石ノ瀬１１番１ＳｕＣ１Ｆ
モーリーファンタジー一関,岩手県一関市山目字泥田８９−１イオン２Ｆ
モーリーファンタジー遠野,岩手県遠野市新穀町１−１１とぴあ２Ｆ
モーリーファンタジー盛岡,岩手県盛岡市前潟４−７−１イオン２Ｆ
モーリーファンタジー盛岡渋民,岩手県盛岡市玉山区渋民字鶴飼２０番地−１ＳｕＣ１Ｆ
モーリーファンタジー盛岡南,岩手県盛岡市本宮７−１−１イオン３Ｆ
モーリーファンタジー前沢,岩手県奥州市前沢区向田２丁目８５イオン２Ｆ
トイザらス北上,岩手県北上市有田町１０−３
パロ久慈,岩手県久慈市長内町第３０地割３２−２久慈ショッピングセンター１Ｆ
らん２　らんど盛岡南,岩手県盛岡市津志田西２丁目１７−５０盛岡南ショッピングセンターサンサ店１Ｆ
イオン江釣子,岩手県北上市北鬼柳１９−６８
イオン盛岡南,岩手県盛岡市本宮字稲荷１０−１
イオン前沢,岩手県奥州市前沢区向田２−８５
イオン盛岡,岩手県盛岡市前潟４−７−１
イトーヨーカドー花巻,岩手県花巻市下小舟渡１１８−１
スカロップ川徳店,岩手県盛岡市菜園１−１０−１パルクアベニュー川徳６Ｆ
プラサカプコン盛岡店,岩手県盛岡市前潟４丁目７番１号イオンモール盛岡２Ｆ
イトーヨーカドー花巻,岩手県花巻市下小舟渡１１８−１
