place,address
トイザらス秋田,秋田県秋田市卸町１－１３５－１
イオンスーパーセンター（株）五城目,秋田県南秋田郡五城目町大川西野字田屋前１３８
イオンスーパーセンター（株）本荘,秋田県由利本荘市石脇字田中１３８番地
イオンスーパーセンター（株）湯沢,秋田県湯沢市字上荻生田１６２
ソユープレイランドソピア御所野店,秋田県秋田市御所野地蔵田一丁目１番地１号イオンモール秋田２Ｆ
モーリーファンタジー横手,秋田県横手市安田字向田１４７イオン２Ｆ
モーリーファンタジー横手南,秋田県横手市大字婦気大堤字中田４－１ＳｕＣ２Ｆ
モーリーファンタジー秋田中央,秋田県秋田市楢山川口境５－１１イオン３Ｆ
モーリーファンタジー大館,秋田県大館市大田面２３８ＳｕＣ１Ｆ
モーリーファンタジー大曲,秋田県大仙市和合字坪立１７７番地イオン２Ｆ
モーリーファンタジー中仙,秋田県大仙市北長野字袴田１８８イオン１Ｆ
モーリーファンタジー能代,秋田県能代市柳町１１－１イオン３Ｆ
イオン土崎港,秋田県秋田市土崎港南２－３－４１
イオン御所野,秋田県秋田市御所野地蔵田１－１－１
イオン横手,秋田県横手市安田字向田１４７
イオン大曲,秋田県大仙市和合字坪立１７７
イオン秋田中央,秋田県秋田市楢山川口境５－１１
メルヘンランド大館店,秋田県大館市御成町３丁目７－５８いとく大館ショッピングセンター３階
リスチャイルドたかのす店,秋田県北秋田市栄字中綱３１－１イオンタウンたかのすＳＣ内
ＡＮ.ＫＩＮ.ＴＡＮ五城目店,秋田県南秋田郡五城目町大字大川西野字田屋前１３８イオンスーパーセンター五城目店内
リスチャイルド本荘店,秋田県由利本荘市石脇字田中１３８イオンスーパーセンター本荘店内
リスチャイルド湯沢店,秋田県湯沢市字上荻生田１６２イオンスーパーセンター湯沢店内
