place,address
ＳＯＹＵ　Ｇａｍｅ　Ｆｉｅｌｄ天童店,山形県天童市芳賀土地区画整理事業地内３４街区イオンモール天童２階
ソユーゲームフィールド三川店,山形県東田川郡三川町大字猪子字和田庫１２８−１イオンモール三川１Ｆ
モーリーファンタジー三川,山形県東田川郡三川町大字猪子字和田庫１２８−１イオン２Ｆ
モーリーファンタジー山形南,山形県山形市若宮３−７−８イオン２Ｆ
モーリーファンタジー山形北,山形県山形市馬見ケ崎２−１２−１９イオン２Ｆ
モーリーファンタジー酒田南,山形県酒田市あきほ町１２０−１イオン１Ｆ
モーリーファンタジー天童,山形県天童市芳賀土地区画整理事業地内３４街区イオン３Ｆ
モーリーファンタジー東根,山形県東根市さくらんぼ駅前３丁目７番１５号イオン２Ｆ
モーリーファンタジー米沢,山形県米沢市春日２−１３−４イオン２Ｆ
イオン米沢,山形県米沢市春日２−１３−４
イオン酒田南,山形県酒田市あきほ町１２０−１
イオン山形北,山形県山形市馬見ケ崎２−１２−１９
イオン東根,山形県東根市さくらんぼ駅前３−７−１５
イオン山形南,山形県山形市若宮３−７−８
イオン三川,山形県東田川郡三川町大字猪子字和田庫１２８−１
ビーカム成沢店,山形県山形市成沢西５−３−２７
わくわくランド新庄店,山形県新庄市金沢字大道上２０３３−４
わくわくランドくしびき店,山形県鶴岡市丸岡字鳥飼１２１−１ヤマザワくしびき店内
わくわくランド中山店,山形県東村山郡中山町大字長崎新町３０３０−１ヤマザワ中山店内
