place,address
トイザらスいわき,福島県いわき市平谷川瀬字双藤町５３−１
トイザらス福島,福島県福島市森合字清水７コープマートいずみ２Ｆ
モーリーファンタジーいわき,福島県いわき市平字三倉６８−１イオン３Ｆ
トイザらス郡山,福島県郡山市松木町２−８８
モーリーファンタジー鏡石,福島県岩瀬郡鏡石町桜岡３７５−９ＳｕＣ１Ｆ
モーリーファンタジー郡山フェスタ,福島県郡山市日和田町字小原１イオン１Ｆ
モーリーファンタジー相馬,福島県相馬市馬場野字雨田５１イオン２Ｆ
モーリーファンタジー白河西郷,福島県西白河郡西郷村大字小田倉字岩下１１−１イオン２Ｆ
モーリーファンタジー福島,福島県福島市南矢野目字西荒田５０番地の１７イオン３Ｆ
イオンいわき,福島県いわき市平字三倉６８−１
イオン福島,福島県福島市南矢野目字西荒田５０−１７
イオン郡山フェスタ,福島県郡山市日和田町字小原１
イオン白河西郷,福島県西白河郡西郷村大字小田倉字岩倉１１−１
ヨドバシカメラ郡山駅前,福島県郡山市駅前１−１６−７
西友郡山,福島県郡山市長者１−１−５６
イオンスーパーセンター（株）南相馬,福島県南相馬市原町区大木戸字金場７７
ヨークベニマル横塚,福島県郡山市横塚２−１２−３２
ヨークベニマルメガステージ須賀川南,福島県須賀川市高久田境９１−１
セガ小名浜,福島県いわき市小名浜林城字塚前１８−１
らくだのせなか鹿島エブリア店,福島県いわき市鹿島町米田字日渡５鹿島エブリアショッピングセンター内プレビプレイランドコーナーらくだのせなか
アピタ会津若松,福島県会津若松市神指町大字南四合字幕内南１５４
ジャスモールファンタジー,福島県南相馬市原町区大木戸字金場７７南相馬ジャスモールＷ１棟
イトーヨーカドー平,福島県いわき市平６−６−２
イトーヨーカドー福島,福島県福島市太田町１３−４
イトーヨーカドー郡山,福島県郡山市西ノ内２−１１−４０
