place,address
トイザらス前橋,群馬県前橋市鳥羽町１６４−１
アピナ太田店,群馬県太田市内ヶ島町９０７−１
モーリーファンタジーミスターマックス伊勢崎,群馬県伊勢崎市宮子町３５５６番地１ミスターマックス１Ｆ
モーリーファンタジー高崎,群馬県高崎市棟高町１４００番地イオン３Ｆ
モーリーファンタジー太田,群馬県太田市石原町８１番地イオン２Ｆ
トイザらス伊勢崎,群馬県伊勢崎市連取町３０２５−２
らんらんらんどガーデン前橋,群馬県前橋市小屋原町４７２−１ガーデン前橋１Ｆ
らんらんらんど倉賀野,群馬県高崎市倉賀野町４６９１−１ミスターマックス倉賀野店１Ｆ
イオン高崎,群馬県高崎市棟高町１４００
イオン太田（群馬）,群馬県太田市石原町８１
ヤマダ電機ＬＡＢＩ１高崎,群馬県高崎市栄町１番１号
ヤマダ電機ＰＣ＆マルチメディア館前橋本店,群馬県前橋市日吉町４−１４−１３
あそびの広場ＳＯＲＡ島前橋,群馬県前橋市国領町２−１４−１前橋リリカ２Ｆ
宝島　大間々,群馬県みどり市大間々町大間々４０番地さくらもーる２Ｆ
セガワールド沼田,群馬県沼田市下久屋町１１００−１
セガワールド館林,群馬県館林市小桑原町９４９−１
ハローズガーデン前橋店,群馬県前橋市文京町２−１−１アピタけやきウォーク前橋店２階
こころっこ新田店,群馬県太田市新田市野井町５９２−１３ニコモール新田店内プレビプレイランドコーナーこころっこ
プレビ劇場ＩＳＥＳＡＫＩ,群馬県伊勢崎市西小保方町３６８スマーク伊勢崎店内３階
ユーズランド高崎店,群馬県高崎市棟高町１４００番地イオンモール高崎２Ｆ
ピアゴ藤岡,群馬県藤岡市藤岡４１６−４
アピタ前橋,群馬県前橋市文京町２−１−１
アピタ高崎,群馬県高崎市矢中町字渕ノ内６６８−１
アピタ館林,群馬県館林市楠町３６４８−１
アピタ笠懸,群馬県みどり市笠懸町阿佐美１２８５−１
アピタ伊勢崎東,群馬県伊勢崎市三室町５３３０
ビリーザキッド伊勢崎店,群馬県伊勢崎市西小保方町３６８スマーク伊勢崎３Ｆ３３０区画
イトーヨーカドー藤岡,群馬県藤岡市藤岡８３１
トイザらス太田,群馬県太田市飯塚町１９３３−２
イトーヨーカドー伊勢崎,群馬県伊勢崎市連取町１５０７
