place,address
レジャーランド秋葉原２号,東京都千代田区外神田４−３−３ ミナミビル６Ｆ・７Ｆ
セガ秋葉原１号館,東京都千代田区外神田１−１０−９
セガ東京ドームシティ,東京都文京区後楽１丁目３番６１号
セガワールド府中,東京都府中市西原町１−６−２フレスポ府中２Ｆ
セガワールド東大和,東京都東大和市桜ヶ丘１−１３３０−１９ＢＩＧＢＯＸ東大和１Ｆ
セガワールドドリームファクトリー,東京都武蔵村山市榎１−１−３−２０５９
ＳＥＧＡ青梅新町,東京都青梅市新町５−３−７プライムビル１Ｆ
セガワールド葛西,東京都江戸川区東葛西９−３−３イトーヨーカドー３Ｆ
セガ竹の塚,東京都足立区竹の塚６−８
ヨドバシカメラ新宿西口本店,東京都新宿区西新宿１−１１−１ゲームホビー館５Ｆ
ヨドバシカメラ新宿東口,東京都新宿区新宿３−２６−７
ヨドバシカメラＡｋｉｂａ,東京都千代田区神田花岡町１−１６Ｆ
ヨドバシカメラ錦糸町,東京都墨田区江東橋３−１４−５錦糸町ステーションビル内
ヨドバシカメラ上野,東京都台東区上野４−１０−１０７Ｆゲームフロアー
ヨドバシカメラ町田,東京都町田市原町田１−１−１１Ｂ１Ｆ
ヨドバシカメラ八王子,東京都八王子市東町７−４
ヨドバシカメラ吉祥寺,東京都武蔵野市吉祥寺本町１−１９−１５Ｆ
ＮＩＣＯＰＡ仙川店,東京都調布市若葉町２−２島忠ホームズ仙川店２Ｆ
にこぱデックス東京ビーチ店,東京都港区台場１−６−１デックス東京ビーチアイランドモール４Ｆ
アドベンチャーリーフ国領店,東京都調布市国領町８−２−６４イトーヨーカドー国領店３階
アトランティス豊洲店,東京都江東区豊洲３−４スーパービバホーム豊洲店２階
ハローズガーデン新糀谷店,東京都大田区萩中２−１２−５マルエツ新糀谷店２階
ハローズガーデン北砂店,東京都江東区北砂２−１７−１アリオ北砂店アリオモール３階
ハローズガーデン東大和店,東京都東大和市桜が丘２−１４２−１イトーヨーカ堂東大和店２階
こころっこ大井町店,東京都品川区大井１丁目３番６号イトーヨーカドー大井町店内７階こころっこ
こころっこ町田根岸,東京都町田市根岸２丁目１８番地１号アメリア町田根岸店内２Ｆ
こころっこ葛西店,東京都江戸川区東葛西９−３−６ホームズ葛西店内１Ｆプレビプレイランドコーナーこころっこ
アドアーズ南砂町ＳＵＮＡＭＯ店,東京都江東区新砂３−４−３１南砂町ショッピングセンターＳＵＮＡＭＯ４階
アドアーズ錦糸町店,東京都墨田区太平４−１−２オリナスモール地下１階
ＴＨＥ　３ＲＤ　ＰＬＡＮＥＴ　多摩センター店,東京都多摩市落合１−３９−２
博品館ＴＯＹＰＡＲＫ,東京都中央区銀座８−８−１１３階
キッズネスト国分寺店,東京都国分寺市南町３−２０−３国分寺エル６Ｆ
伊勢丹府中,東京都府中市宮町１−４１−２伊勢丹府中店７Ｆ
聖蹟桜ヶ丘京王,東京都多摩市関戸１−１０−１京王百貨店聖蹟桜ヶ丘店７Ｆ
新宿京王,東京都新宿区西新宿１−１−４京王百貨店新宿店７Ｆ
プラサカプコン吉祥寺,東京都武蔵野市吉祥寺本町１−１０−１いなりやビルＢ１Ｆ
小田急百貨店　新宿店,東京都新宿区西新宿１−１−３９Ｆ
タイトーステーション祖師ヶ谷大蔵店,東京都世田谷区砧８−１０番１号
ハロータイトー　八王子みなみ野店,東京都八王子市みなみ野１−８−１ＢＯＯＫＯＦＦ内タイトー
タイトーステーション　多摩センター店,東京都多摩市落合１−４５−１
タイトーステーション　町田店,東京都町田市原町田６−２１−２３
田無ファミリーランド　ゲームセンター,東京都西東京市西原町４−２−９
○×△□（ラくトス）,東京都葛飾区新小岩１−４４−６
キャッツアイ西葛西店,東京都江戸川区西葛西４−２−２８サニーモール西葛西店３Ｆ
ピットイン,東京都江戸川区西葛西６-５-１４
トイショップヤマシロヤ,東京都台東区上野６−１４−６
ＲＯＮＩ　お台場ヴィーナスフォート店,東京都江東区青海１丁目３番１５号１Ｆ
イトーヨーカドー三ノ輪,東京都荒川区南千住１−９−１
イトーヨーカドー高砂,東京都葛飾区高砂３−１２−５
イトーヨーカドー東村山,東京都東村山市本町２−２−１９
イトーヨーカドー小岩,東京都江戸川区西小岩１−２４−１
イトーヨーカドー多摩センター,東京都多摩市落合１−４４
イトーヨーカドー綾瀬,東京都足立区綾瀬３−４−２５
イトーヨーカドー昭島,東京都昭島市田中町５６２−１
イトーヨーカドー四つ木,東京都葛飾区四つ木２−２１−１
イトーヨーカドー東久留米,東京都東久留米市本町３−８−１
イトーヨーカドー大井町,東京都品川区大井１−３−６
イトーヨーカドー南大沢,東京都八王子市南大沢２−２８−１
イトーヨーカドー拝島,東京都昭島市松原町３−２−１２
イトーヨーカドー竹の塚,東京都足立区竹の塚５−１７−１
イトーヨーカドー武蔵境,東京都武蔵野市境南町２−２−２０
イトーヨーカドー赤羽,東京都北区赤羽西１−７−１
イトーヨーカドー八王子,東京都八王子市狭間町１４６２−１
イトーヨーカドー木場,東京都江東区木場１−５−３０
イトーヨーカドー東大和,東京都東大和市桜が丘２−１４２−１
イトーヨーカドー国領,東京都調布市国領町８−２−６４
イトーヨーカドー大森,東京都大田区大森北二−１３−１
