place,address
アピタ戸塚,神奈川県横浜市戸塚区上倉田町７６９−１
プラサカプコン横須賀,神奈川県横須賀市若松町２−３０モアーズシティ４Ｆ
プラサカプコン磯子,神奈川県横浜市磯子区磯子１−１−１マリコム磯子ＳＣ２Ｆ
サガミ堂,神奈川県相模原市陽光台３−６−７
タイトーステーション　海老名ビナウォーク店,神奈川県海老名市中央１ー１８−１
タイトーステーション　小田原シティーモールクレッセ店,神奈川県小田原市前川１２０小田原シティモールクレッセ内２Ｆ
ジョーシン港北インター,神奈川県横浜市都筑区折本町１９１
イトーヨーカドー相模原,神奈川県相模原市南区松が枝町１７−１
イトーヨーカドー上大岡,神奈川県横浜市港南区上大岡西３−９−１
イトーヨーカドー藤沢,神奈川県藤沢市鵠沼石上１−１０−１
イトーヨーカドー厚木,神奈川県厚木市中町４−１３−１
イトーヨーカドー綱島,神奈川県横浜市港北区綱島西２−８−１
イトーヨーカドー上永谷,神奈川県横浜市港南区丸山台１−１２
イトーヨーカドー武蔵小杉,神奈川県川崎市中原区小杉町３−４２０
イトーヨーカドー新百合ヶ丘,神奈川県川崎市麻生区上麻生１−４−１
イトーヨーカドー小田原,神奈川県小田原市中里２９６−１
イトーヨーカドー鶴見,神奈川県横浜市鶴見区鶴見中央３−１５−３０
イトーヨーカドー川崎港町,神奈川県川崎市川崎区港町１２−１
イトーヨーカドー能見台,神奈川県横浜市金沢区能見台東３−１
イトーヨーカドーたまプラーザ,神奈川県横浜市青葉区美しが丘１−６−１
イトーヨーカドー大船,神奈川県鎌倉市大船６−１−１
イトーヨーカドー伊勢原,神奈川県伊勢原市桜台１−８−１
イトーヨーカドー溝ノ口,神奈川県川崎市高津区久本３−６−２０
イトーヨーカドー古淵,神奈川県相模原市古淵３−１３−３３
イトーヨーカドー横浜別所,神奈川県横浜市南区別所１−１４−１
イトーヨーカドー川崎,神奈川県川崎市川崎区小田栄２−２−１
イトーヨーカドー大和鶴間,神奈川県大和市下鶴間１−３−１
イトーヨーカドー湘南台,神奈川県藤沢市石川６−２−１
トイザらス厚木,神奈川県厚木市妻田東３−２５−２４
イトーヨーカドー立場,神奈川県横浜市泉区中田西１−１−１５
