place,address
らんらんらんど湯村,山梨県甲府市千塚１−９−１４オギノ湯村店４Ｆ
ハローズガーデン石和,山梨県笛吹市石和町窪中島１５４アピタ石和店２Ｆ
タイトーＦステーションラザウォーク甲斐双葉店,山梨県甲斐市志田字柿木６１６−１
プラサカプコン甲府,山梨県中巨摩郡昭和町西条字北河原３７１７
モーリーファンタジー甲府昭和,山梨県中巨摩郡（ナカコマグン）昭和町常永土地区画整理地内１街区イオン３Ｆ
モーリーファンタジー石和,山梨県笛吹市石和町駅前１６−１イオン３Ｆ
らんらんらんど南アルプス,山梨県南アルプス市小笠原１４２３−１トライアル南アルプス店Ｂ１Ｆ
イオン甲府昭和,山梨県中巨摩郡昭和町常永土地区画整理地内一街区
イオン石和,山梨県笛吹市石和町駅前１６−１
イトーヨーカドー甲府昭和,山梨県中巨摩郡昭和町西条１３−１
楽市楽座イオンモール甲府,山梨県中巨摩郡昭和町常永土地区画整理地内１街区−２０１１区画イオンモール甲府昭和店２階
富士急百貨店,山梨県富士吉田市上吉田２−５−１
富士急百貨店,山梨県富士吉田市上吉田２−５−１
アピタ田富,山梨県中央市山之神１３８３−９
アピタ双葉,山梨県甲斐市志田字柿木６４５−１番地
アピタ石和,山梨県笛吹市石和町窪中島１５４番地
タイトーＦステーション　ラザウォーク甲斐双葉店,山梨県甲斐市志田字柿木６１６−１
イトーヨーカドー甲府昭和,山梨県中巨摩郡昭和町西条１３−１
