place,address
アルプラザ津幡,石川県河北郡津幡町北中条１丁目１番地
アルプラザ加賀,石川県加賀市作見町ル２５−１
バローランド大桑,石川県金沢市大桑３−１１４バロー大桑店１Ｆ
セガイオンタウン金沢示野,石川県金沢市示野中町８７街区２号
ジョーシン金沢本店,石川県金沢市戸板西２−７
モーリーファンタジー・ｆ御経塚,石川県野々市市御経塚２丁目９１番地イオン１Ｆ
モーリーファンタジーかほく,石川県かほく市内日角地内タ２５番イオン２Ｆ
アル・プラザ金沢,石川県金沢市諸江町３０−１
モーリーファンタジー松任,石川県白山市平松町１０２−１イオン２Ｆ
モーリーファンタジー杜の里,石川県金沢市もりの里１丁目７０番地イオン２Ｆ
イオン金沢,石川県金沢市福久２−５８
イオンかほく,石川県かほく市内日角タ２５
イオン松任,石川県白山市平松町１０２−１
イオン御経塚,石川県石川郡野々市町御経塚２−９１
アルプラザ小松,石川県小松市園町八２３番地１
アル・プラザ鹿島,石川県鹿島郡中能登町井田と部１−１
アピナ野々市店,石川県野々市市白山町４−１イオンタウン野々市店内
ピアゴ七尾,石川県七尾市御祓町１番地
アピタ松任,石川県白山市幸明町２８０番地
アピタ金沢,石川県金沢市中村町１０番２０号
