place,address
レイク・リビン海津平田,岐阜県海津市平田町今尾１６１７
ヨシヅヤ新垂井,岐阜県不破郡垂井町表佐字大持野５５−１
ちゃおらんどバロー高山,岐阜県高山市岡本町３丁目１８−２バロー高山店２階
ちゃおらんどバロー多治見,岐阜県多治見市若松町１丁目３４バロー多治見店２階
ちゃおらんどバロー芥見,岐阜県岐阜市芥見南山２丁目１−８バロー芥見１階
ジョーシン岐阜羽島,岐阜県羽島市小熊町島１−４３
レイク・リビン可児店,岐阜県可児市下恵土５７５０
モーリーファンタジー各務原,岐阜県各務原市那加萱場町３−８イオンモール３Ｆ
モーリーファンタジー関,岐阜県関市倉知５１６サンサンシティ・マーゴイオン１Ｆ
モーリーファンタジー岐阜,岐阜県岐阜市正木中１−２−１マーサ２１北館３Ｆイオン岐阜３Ｆ
モーリーファンタジー大垣,岐阜県大垣市外野２丁目１００番イオン２Ｆ
平和堂大野,岐阜県揖斐郡大野町大字黒野字上柿木１２−１
イオン関,岐阜県関市倉知５１６
平和堂高富,岐阜県山県市高木１４７３
イオン各務原,岐阜県各務原市那加萱場町３−８
イオン大垣,岐阜県大垣市外野２−１００
アル・プラザ鶴見,岐阜県大垣市鶴見町字上渡瀬６４１−２
カラフルパーク大垣店,岐阜県大垣市三塚町丹瀬４６３−１イオンタウン大垣１Ｆ
ＮＩＣＯＰＡ羽島ウイング店,岐阜県羽島市小熊町島１丁目４６番地
イトーヨーカドー柳津,岐阜県岐阜市柳津町丸野３−３−６
らんらんらんど多治見,岐阜県多治見市西坂町５−３１−１多治見インター店２Ｆ
ペリカン高山,岐阜県高山市岡本町３−１８−２バロー高山内２Ｆ
セガワールドアクアウォーク大垣,岐阜県大垣市林町六丁目８０番２１アクアウォーク大垣２Ｆ
ＮＩＣＯＰＡ羽島ウイング店,岐阜県羽島市小熊町島１丁目４６番地
にこぱアクアウォーク大垣店,岐阜県大垣市林町６丁目８０番２１
ピアゴ多治見,岐阜県多治見市住吉町三丁目１９番地の１
ピアゴ瑞浪,岐阜県瑞浪市薬師町二丁目７２番地
ピアゴ恵那,岐阜県恵那市長島町正家二丁目２番地１７
アピタ北方,岐阜県本巣郡北方町平成２丁目３番地
アピタ美濃加茂,岐阜県美濃加茂市野笹町２丁目５番６５号
アピタ中津川,岐阜県中津川市淀川町３番８号
アピタ大垣,岐阜県大垣市林町六丁目８０番２１号
アピタ御嵩,岐阜県可児郡御嵩町上恵土字西畑１０５２ばん１
アピタ岐阜,岐阜県岐阜市加納神明町６丁目１番地
アピタ各務原,岐阜県各務原市鵜沼各務原町８丁目７番地
アピタ飛騨高山,岐阜県高山市国府町金桶４１番地
イトーヨーカドー柳津,岐阜県岐阜市柳津町丸野３−３−６
