place,address
アルプラザ守山,滋賀県守山市播磨田町１８５の１
アルプラザ近江八幡,滋賀県近江八幡市桜宮町２０２−１
平和堂米原,滋賀県米原市下多良２−４７
フレンドマート浅井,滋賀県長浜市三田町１３２２
らんらんらんど豊郷,滋賀県犬上郡豊郷町大字高野瀬字下池田１９７−１ピアゴ豊郷店１Ｆ
ＧａｍｅＦｉｅｌｄピエリ守山,滋賀県守山市滋賀県守山市今浜町２６２０−５
ＡＧスクエア大津,滋賀県大津市におの浜３−１−４３
アル・プラザ水口,滋賀県甲賀市水口町本綾野５６６−１
モーリーファンタジー近江八幡,滋賀県近江八幡市鷹飼町南３丁目７番イオン３Ｆ
モーリーファンタジー西大津,滋賀県大津市皇子が丘３−１１−１イオン４Ｆ
モーリーファンタジー草津,滋賀県草津市新浜町３００イオン３Ｆ
モーリーファンタジー長浜,滋賀県長浜市山階町２７１−１イオン２Ｆ
ビバシティ平和堂,滋賀県彦根市竹ケ鼻町４３−１
イオン草津,滋賀県草津市新浜町３００
アルプラザ堅田,滋賀県大津市本堅田５丁目２０番１０号
アルプラザ野洲,滋賀県野洲市小篠原１０００番地
イズミヤスーパーセンター堅田,滋賀県大津市今堅田３丁目１１番１号
アル・プラザ草津,滋賀県草津市西渋川１−２３−３０
タイトーＦステーションイオン近江八幡店,滋賀県近江八幡市鷹飼町南３丁目７番地イオン近江八幡２番街１階
ＡＧスクエア大津,滋賀県大津市におの浜３−１−４３
モーリーファンタジー長浜,滋賀県長浜市山階町２７１−イオン２Ｆ
セガワールド草津,滋賀県草津市西渋川一丁目２３番２３号ＳＡＲＡ新棟２Ｆ
セガワールド甲西,滋賀県湖南市夏見二ツ橋３５６−１
トイザらス彦根,滋賀県彦根市小泉町３１−１ビバシティ内
ゲームランド草津,滋賀県草津市新浜町３００イオンモール草津３Ｆ
タイトーＦステーション　イオン近江八幡店,滋賀県近江八幡市鷹飼町南３丁目７番地イオン近江八幡２番街１階
