place,address
ライフ壬生,京都府京都市中京区壬生西檜町２３
ライフ二条駅前,京都府京都市中京区西ノ京星池町２４８
エール東舞鶴,京都府舞鶴市南浜町２７番地５
フレンドマート木津川,京都府木津川市州見台１−１−１−１
らんらんらんど綾部,京都府綾部市綾中町花ノ木３０バザールタウン綾部店２Ｆ
ジョーシン宇治,京都府宇治市宇治樋ノ尻７９−１ホームセンターコーナン２階
ジョーシン亀岡,京都府亀岡市余部町樋又８０
ジョーシン長岡京,京都府長岡京市神足四ノ坪１−２
エディオン伏見,京都府京都市伏見区横大路芝生１
イズミヤ長岡,京都府長岡京市開田４丁目７番１号
イズミヤ大久保,京都府城陽市平川室木８５番地
イズミヤ八幡,京都府八幡市八幡一ノ坪２３−１
モーリーファンタジー久御山,京都府久世郡久御山町森南大内１５６−１イオン２Ｆ
モーリーファンタジー京都五条,京都府京都市右京区西院追分町２５−１イオン２Ｆ
モーリーファンタジー高の原,京都府木津川市相楽台１−１−１イオンＳＣ４Ｆ
モーリーファンタジー福知山,京都府福知山市岩井７９−８イオン２Ｆ
モーリーファンタジー洛南,京都府京都市南区吉祥院御池町３１イオン２Ｆ
ビックカメラＪＲ京都駅,京都府京都市下京区東塩小路町９２７トイズコーナー
イオン伏見,京都府京都市伏見区御堂前町６１６
イオン洛南,京都府京都市南区吉祥院御池町３１
イオン京都五条,京都府京都市右京区西院追分町２５−１
イオン福知山,京都府福知山市岩井７９−８
イオン高の原,京都府木津川市相楽台１−１−１
ライフ太秦,京都府京都市右京区太秦安井池田町６
イズミヤ八幡,京都府八幡市八幡一ノ坪２３−１
アル・プラザ醍醐,京都府京都市伏見区醍醐高畑町１−３７
キデイランド京都洛北,京都府京都市左京区高野西開町３６番地カナート洛北
アルプラザ木津,京都府木津川市相楽城西１５番地
イズミヤ高野,京都府京都市左京区高野東開町１６番地
楽市楽座イオンモール京都桂川,京都府京都市南区久世高田町３７６番１イオンモール京都桂川店３階
ヨドバシカメラ京都,京都府京都市下京区烏丸通り七条下ル東塩小路町５９０−２
アル・プラザ亀岡,京都府亀岡市篠町野条上又１１−１
レインボーランド八幡,京都府八幡市八幡一ノ坪２３−１イズミヤ八幡店内
キデイランド京都洛北,京都府京都市左京区高野西開町３６番地カナート洛北
トイザらス向日市,京都府向日市鶏冠井町西金村５むこうしステーションパーク内
セガワールド六地蔵,京都府京都市伏見区桃山町山ノ下３２京都ショッピングセンタービルＡＭ棟２Ｆ
ヨドバシカメラ京都,京都府京都市下京区烏丸通り七条下ル東塩小路町５９０−２
アル・プラザ城陽,京都府城陽市富野荒見田１１２
ＴＨＥ　３ＲＤ　ＰＬＡＮＥＴ　ＢｉＶｉ京都二条店,京都府京都市中京区西ノ京栂尾町１−６
大丸京都店,京都府京都市下京区四条通高倉西入立売西町７９番地
アル・プラザ京田辺,京都府京田辺市田辺中央５−２−１
アミパラ京都南店,京都府向日市森本町佃15-7-2Ｆ
レインボーランド長岡店,京都府長岡京市開田４丁目７番１号イズミヤ長岡店２階
レインボーランド六地蔵店,京都府京都市伏見区桃山町西尾１２番地１イズミヤ六地蔵店２階
レインボーランド伏見店,京都府京都市伏見区深草出羽屋敷町２３番地イズミヤ伏見店３階
アピタ精華台,京都府相楽郡精華町精華台９丁目２番地４
プラサカプコン京都,京都府京都市右京区西院追分町２５−１イオンモール京都ハナ３Ｆ
イトーヨーカドー六地蔵,京都府宇治市六地蔵奈良町６７−１
