place,address
モーリーファンタジー橿原,奈良県橿原市曲川町７−２０−１イオン２Ｆ
モーリーファンタジー桜井,奈良県桜井市上之庄２７８−１イオン２Ｆ
モーリーファンタジー大和郡山,奈良県大和郡山市下三橋７４１イオン３Ｆ
モーリーファンタジー天理,奈良県天理市東井戸堂町３８１ザ・ビッグエクストラ１Ｆ
モーリーファンタジー登美ヶ丘,奈良県生駒市鹿畑町３０２７番地イオンモール奈良登美ヶ丘２Ｆ
イオン五條,奈良県五條市今井２−１５０
ライフ大淀,奈良県吉野郡大淀町土田２４３−１
イオン大和郡山,奈良県大和郡山市下三橋町７４１
イズミヤ広陵,奈良県北葛城郡広陵町大字安部４５０−１
ザ・ビックエクストラ大安寺,奈良県奈良市南京終町１丁目１２８−１
トイザらス奈良,奈良県奈良市柏木町４５６−１
アピタ大和郡山,奈良県大和郡山市田中町字宮西５１７番
アピタ西大和,奈良県北葛城郡上牧町上牧３０００−１
ジョーシン郡山イオンモール,奈良県大和郡山市下三橋町７４１−１７０イオンモール大和郡山１Ｆ
イトーヨーカドー奈良,奈良県奈良市二条大路南１−３−１
西友王寺,奈良県北葛城郡王寺町久度２−２−１
