place,address
パロ橋本彩の台,和歌山県橋本市あやの台１丁目５０番地２彩の台ショッピングセンター
らんらんらんど田辺,和歌山県田辺市宝来町２４番２６号グルメシティ田辺店３Ｆ
モーリーファンタジー新宮,和歌山県新宮市橋本２丁目１４番２３号イオン２Ｆ
モーリーファンタジー和歌山,和歌山県和歌山市中字楠谷５７３番地イオン３Ｆ
ドナリアコットミレニアシティ岩出店,和歌山県岩出市中迫字塚本１４７ミレニアシティ
にこぱガーデンパーク和歌山店,和歌山県和歌山市松江字向鵜の島１４６９−１ガーデンパーク和歌山
イズミヤ紀伊川辺,和歌山県和歌山市川辺２２０番
レインボーランド和歌山店,和歌山県和歌山市新生町７番２０号イズミヤ和歌山店２階
ペリカン和歌山,和歌山県和歌山市新生町７−２０イズミヤ内２Ｆ
ドナリアコットミレニアシティ岩出店,和歌山県岩出市中迫字塚本１４７ミレニアシティ
にこぱガーデンパーク和歌山店,和歌山県松江字向鵜の島１４６９−１ガーデンパーク和歌山
ユーズランド和歌山店,和歌山県和歌山市中字楠谷５７３番地イオンモール和歌山２Ｆ区画番号２０５９
オークワ　スーパーセンター南紀店,和歌山県新宮市佐野３−１１−１９
オークワ　パビリオンシティ田辺店,和歌山県田辺市稲成町新江原３１６５
オークワ　ミレニアシティ岩出店,和歌山県岩出市中迫１４７
オークワ　ロマンシティ御坊店,和歌山県御坊市湯川町財部１８１
タイトーＦステーション　御坊店,和歌山県御坊市湯川町財部１８１番地
仔熊近鉄和歌山,和歌山県和歌山市友田町５−１８近鉄百貨店和歌山店４Ｆトイランド
