place,address
ポップンパーク坂出,香川県坂出市坂出市0877-45-0050
ビーユー高松,香川県高松市三条町字中所６０８−１ゆめタウン２Ｆ
ハローズ高松春日,香川県高松市春日町１０７２−１
モーリーファンタジー・ｆ綾川,香川県綾歌郡綾川町萱原８２２−１イオンＳＣ３Ｆ
モーリーファンタジー綾川,香川県綾歌郡綾川町萱原８２２−１イオン３Ｆ
モーリーファンタジー高松,香川県高松市香西本町１−１イオン３Ｆ
モーリーファンタジー高松東,香川県高松市福岡町３−８−５イオン３Ｆ
イオン高松,香川県高松市香西本町１−１
イオン高松東,香川県高松市福岡町３−８−５
イオン綾川,香川県綾歌郡綾川町萱原８２２−１
ポップンパーク豊中,香川県三豊市豊中町本山甲国繋９４４
ポップンパーク豊中,香川県三豊市豊中町本山甲国繋９４４
ポップンパーク坂出,香川県坂出市江尻町北新開１１６６−１
フジグラン丸亀,香川県丸亀市川西町南１２８０−１
フジグラン十川,香川県高松市十川東町５５番地１
ハローズ円座店,香川県高松市円座町８４５−３
ペリカン高松,香川県高松市三条町字中所６０８−１ゆめタウン高松内２Ｆ
ペリカン丸亀,香川県丸亀市新田町１５０ゆめタウン丸亀内３Ｆ
ペリカン三豊,香川県三豊市豊中町本山甲２２番地ゆめタウン２Ｆ
トイザらス高松,香川県高松市屋島西町字百石１９１２−１パワーシティ尾島２Ｆ
トイザらス丸亀,香川県丸亀市蓬莱町５６−１パブリックプラザ丸亀内
ハロータイトー　丸亀,香川県丸亀市川西町南１２８０番地１フジグラン丸亀バッハ棟２Ｆ
