place,address
ミスターマックス宇佐,大分県宇佐市大字法鏡寺５００
ミスターマックス中津,大分県中津市大字宮夫１９１番地
モーリーファンタジーパークプレイス大分,大分県大分市公園通り西２丁目−１イオン２Ｆ
モーリーファンタジー挾間,大分県由布市挾間町北方７７番地イオン２Ｆ
らんらんらんど日田,大分県日田市南元町１４−２２ダイエー日田店２Ｆ
ＦＥＳＴＡフリーモールわさだ,大分県大分市大字木上字鉾手２１０２番地フリーモールわさだ内
ＦＥＳＴＡコスモタウン佐伯,大分県佐伯市鶴岡西町２丁目１６３番地コスモタウン佐伯内
ダイエー日田,大分県日田市南元町１４−２２
ユーズランド三光店,大分県中津市三光佐知１０３２イオンモール三光２Ｆ
セガワールド高城,大分県大分市牧１−１６１−８
セガワールド中津,大分県中津市沖代町１−２−１６
ペリカン別府,大分県別府市楠町３８２−７ゆめタウン別府内３Ｆ
ペリカン中津,大分県中津市大字島田１３４−１ゆめタウン中津内３Ｆ
イオンパークプレイス大分,大分県大分市公園通り西２−１
イオン狭間,大分県由布市挾間町北方７７番地
イオン高城,大分県大分市高城西町２８−１
イオン三光,大分県中津市三光佐知１０３２
トイザらス大分,大分県大分市大字宮崎５２５
プラサカプコン大分店,大分県大分市公園通り西２丁目１番パークプレイス大分２Ｆ
