place,address
ゲオ西原店,沖縄県浦添市当山２丁目２番３号
モーリーファンタジー具志川,沖縄県うるま市前原幸崎原３０３番地イオン２Ｆ
モーリーファンタジー那覇,沖縄県那覇市金城５−１０−２イオン３Ｆ
モーリーファンタジー南風原,沖縄県島尻郡南風原町字宮平２６４イオン２Ｆ
モーリーファンタジー北谷,沖縄県中頭郡北谷町字美浜８−３イオン２Ｆ
モーリーファンタジー名護,沖縄県名護市字名護見取川原４４７２イオン１Ｆ
らんらんらんど浦添,沖縄県浦添市城間４−７−１浦添ショッピングセンター３Ｆ
イオン具志川,沖縄県うるま市字前原幸崎原３０３番地
イオン那覇,沖縄県那覇市金城５−１０−２
イオン南風原,沖縄県島尻郡南風原町字宮平２６４
イオン北谷,沖縄県北谷町字美浜８−３
イオン名護,沖縄県名護市字名護見取川原４４７２
トイザらス那覇新都心,沖縄県那覇市おもろまち３−３あっぷるタウン１Ｆ
（株）サンエー那覇メインプレイス店,沖縄県那覇市おもろまち４−４−９２Ｆ
（株）サンエー具志川メインシティ店,沖縄県うるま市江洲４５０−１２Ｆ
（株）サンエー豊見城ウイングシティ,沖縄県豊見城市高安２６１−２２Ｆ
（株）サンエーしおざきシティ店,沖縄県糸満市潮崎町２−２
