名前,address_orig,住所,お店の場所
トイザらス津,三重県津市藤方９８５－１,三重県津市藤方985-1,
ドナリアコットサンバレー店,三重県津市高茶屋小森町１４５サンバレー２Ｆ,三重県津市高茶屋小森町145,サンバレー2F
NICOPAイオン津店,三重県津市桜橋３－４４６イオン津店２Ｆ,三重県津市桜橋3-446,イオン津店2F
NICOPAイオン伊勢店,三重県伊勢市楠部町乙１６０イオン伊勢店,三重県伊勢市楠部町乙160,イオン伊勢店
NICOPA四日市北店,三重県四日市市富州原町２－４０イオン四日市北店,三重県四日市市富州原町2-40,イオン四日市北店
四日市アミューズメントパーク,三重県四日市市安島１－３－３１ララスクエア５Ｆ,三重県四日市市安島1-3-31,ララスクエア5F
ピアゴ嬉野店,三重県松阪市嬉野中川新町４丁目２０５番地,三重県松阪市嬉野中川新町4-205,
ピアゴ阿倉川,三重県四日市市阿倉川町１５番２７号,三重県四日市市阿倉川町15-27,
アピタ鈴鹿,三重県鈴鹿市南玉垣町３６２８,三重県鈴鹿市南玉垣町3628,
アピタ松阪三雲,三重県松阪市市場庄町１２６６番地の１,三重県松阪市市場庄町1266-1,
アピタ四日市,三重県四日市市安島１丁目３番３１号,三重県四日市市安島1-3-31,
アピタ桑名,三重県桑名市中央町三丁目２１番地,三重県桑名市中央町3-21,
アピタ伊賀上野,三重県上野市服部町１７８８番地,三重県上野市服部町1788,
タイトーステーション イオン明和店,三重県多気郡明和町中村１２２３,三重県多気郡明和町中村1223,
アピナ鈴鹿店,三重県鈴鹿市庄野羽山４－２０－１イオンタウン鈴鹿２階,三重県鈴鹿市庄野羽山4-20-1,イオンタウン鈴鹿2階
モーリーファンタジー阿児,三重県志摩市阿児町鵜方３２１５イオン２Ｆ,三重県志摩市阿児町鵜方3215,イオン2F
モーリーファンタジー伊賀上野,三重県伊賀市上野茅町２５１９イオン２Ｆ,三重県伊賀市上野茅町2519,イオン2F
モーリーファンタジー四日市北,三重県四日市市富州原町２－４０ イオン２Ｆ,三重県四日市市富州原町2-40,イオン2F
モーリーファンタジー津城山,三重県津市久居小野辺町１１３０－７イオンタウン２Ｆ,三重県津市久居小野辺町1130-7,イオンタウン2F
モーリーファンタジー東員,三重県員弁郡東員町長深字築田５１０番地１イオン３Ｆ,三重県員弁郡東員町長深字築田510-1,イオン3F
モーリーファンタジー明和,三重県多気郡明和町中村長波賀１２２３番地イオン２Ｆ,三重県多気郡明和町中村長波賀1223,イオン2F
モーリーファンタジー鈴鹿,三重県鈴鹿市庄野羽山４－１－２イオン２Ｆ,三重県鈴鹿市庄野羽山4-1-2,イオン2F
イオン伊勢,三重県伊勢市楠部町乙１６０－２,三重県伊勢市楠部町乙160-2,
イオン鈴鹿,三重県鈴鹿市庄野羽山４－１－２,三重県鈴鹿市庄野羽山4-1-2,
イオン明和,三重県多気郡明和町中村１２２３,三重県多気郡明和町中村1223,
アル・プラザ水口,滋賀県甲賀市水口町本綾野５６６－１,滋賀県甲賀市水口町本綾野566-1,
ビバシティ平和堂,滋賀県彦根市竹ケ鼻町４３－１,滋賀県彦根市竹ケ鼻町43-1,
アル・プラザ草津,滋賀県草津市西渋川１－２３－３０,滋賀県草津市西渋川1-23-30,
トイザらス大津,滋賀県大津市萱野浦２５－３０,滋賀県大津市萱野浦25-30,
トイザらス彦根,滋賀県彦根市小泉町３１－１ ビバシティ内,滋賀県彦根市小泉町31-1,ビバシティ内
セガワールド草津,滋賀県草津市西渋川一丁目２３番２３号 ＳＡＲＡ新棟２Ｆ,滋賀県草津市西渋川1-23-23,SARA新棟2F
ゲームランド草津,滋賀県草津市新浜町３００イオンモール草津３Ｆ,滋賀県草津市新浜町300,イオンモール草津3F
タイトーFステーション イオン近江八幡店,滋賀県近江八幡市鷹飼町南３丁目７番地 イオン近江八幡２番街１階,滋賀県近江八幡市鷹飼町南3-7,イオン近江八幡2ー街1階
モーリーファンタジー近江八幡,滋賀県近江八幡市鷹飼町南３丁目７番イオン３Ｆ,滋賀県近江八幡市鷹飼町南3-7,イオン3F
モーリーファンタジー西大津,滋賀県大津市皇子が丘３－１１－１イオン４Ｆ,滋賀県大津市皇子が丘3-11-1,イオン4F
モーリーファンタジー草津,滋賀県草津市新浜町３００イオン３Ｆ,滋賀県草津市新浜町300,イオン3F
モーリーファンタジー長浜,滋賀県長浜市山階町２７１－１イオン２Ｆ,滋賀県長浜市山階町271-1,イオン2F
イオン草津,滋賀県草津市新浜町３００,滋賀県草津市新浜町300,
アル・プラザ亀岡,京都府亀岡市篠町野条上又１１－１,京都府亀岡市篠町野条上又11-1,
アル・プラザ城陽,京都府城陽市富野荒見田１１２,京都府城陽市富野荒見田112,
アル・プラザ京田辺,京都府京田辺市田辺中央５－２－１,京都府京田辺市田辺中央5-2-1,
トイザらス向日市,京都府向日市鶏冠井町西金村５ むこうしステーションパーク内,京都府向日市鶏冠井町西金村5,むこうしステーションパーク内
ライフ太秦,京都府京都市右京区太秦安井池田町６,京都府京都市右京区太秦安井池田町6,
イズミヤ八幡,京都府八幡市八幡一ノ坪２３－１,京都府八幡市八幡一ノ坪23-1,
キデイランド京都洛北,京都府京都市左京区高野西開町３６番地カナート洛北,京都府京都市左京区高野西開町36,カナート洛北
セガワールド六地蔵,京都府京都市伏見区桃山町山ノ下３２ 京都ショッピングセンタービルＡＭ棟２Ｆ,京都府京都市伏見区桃山町山ノ下32,京都ショッピングセンタービルAM棟2F
アミパラ京都南店,京都府向日市森本町佃15-7-2Ｆ,京都府向日市森本町佃15-7,2F
レインボーランド長岡店,京都府長岡京市開田４丁目７番１号イズミヤ長岡店２階,京都府長岡京市開田4-7-1,イズミヤ長岡店2階
レインボーランド六地蔵店,京都府京都市伏見区桃山町西尾１２番地１イズミヤ六地蔵店２階,京都府京都市伏見区桃山町西尾12-1,イズミヤ六地蔵店2階
レインボーランド伏見店,京都府京都市伏見区深草出羽屋敷町２３番地イズミヤ伏見店３階,京都府京都市伏見区深草出羽屋敷町23,イズミヤ伏見店3階
モーリーファンタジー京都五条,京都府京都市右京区西院追分町２５－１イオン２Ｆ,京都府京都市右京区西院追分町25-1,イオン2F
モーリーファンタジー高の原,京都府木津川市相楽台１－１－１ イオンＳＣ４Ｆ,京都府木津川市相楽台1-1-1,イオンSC4F
モーリーファンタジー福知山,京都府福知山市岩井７９－８イオン２Ｆ,京都府福知山市岩井79-8,イオン2F
イオン伏見,京都府京都市伏見区御堂前町６１６,京都府京都市伏見区御堂前町616,
イオン京都五条,京都府京都市右京区西院追分町２５－１,京都府京都市右京区西院追分町25-1,
