名前,address_orig,住所,お店の場所,経緯度
トイザらス四日市,三重県四日市市泊小柳町４－５ イオンタウン四日市泊,三重県四日市市泊小柳町4-5,イオンタウン四日市泊,"136.6013649,34.9393289"
セガワールド久居,三重県津市久居明神町字風早２５３４－１,三重県津市久居明神町字風早2534-1,,"136.4616823,34.6848068"
ピアゴ上地,三重県伊勢市上地町字 川西３１１８番地１ ,三重県伊勢市上地町字 川西3118-1,,"136.6573706,34.5010207"
アピタ名張,三重県名張市下比奈知黒田３１００番地の１,三重県名張市下比奈知黒田3100-1,,"136.1252528,34.6292804"
モーリーファンタジー伊勢ララパーク,三重県伊勢市小木町曽弥５３８イオンタウン伊勢ララパーク２Ｆ,三重県伊勢市小木町曽弥538,イオンタウン伊勢ララパーク2F,"136.7225693,34.5065589"
モーリーファンタジー四日市尾平,三重県四日市市尾平町字天王川原１８０５ イオン３Ｆ,三重県四日市市尾平町字天王川原1805,イオン3F,"136.5911388,34.9772916"
モーリーファンタジー松阪,三重県松阪市船江町１３９２－２７ マーム３Ｆ,三重県松阪市船江町1392-27,マーム3F,"136.523581,34.5941277"
イオン四日市尾平,三重県四日市市尾平町字天王川原１８０５,三重県四日市市尾平町字天王川原1805,,"136.5914928,34.9774411"
イオン四日市北,三重県四日市市富州原町２－４０,三重県四日市市富州原町2-40,,"136.6574638,35.0076936"
アル・プラザ醍醐,,三重県多気郡明和町中村1223,,"135.81115799999998,34.950846"
セガワールド甲西,滋賀県湖南市夏見二ツ橋 ３５６－１,滋賀県湖南市夏見二ツ橋356-1,,"136.0971788,34.9948633"
スーパースポーツゼビオ,,滋賀県草津市新浜町300,,"135.9174759,34.9977269"
THE 3RD PLANET BiVi京都二条店,京都府京都市中京区西ノ京栂尾町１－６,京都府京都市中京区西ノ京栂尾町1-6,,"135.7412763,35.0103652"
大丸京都店,京都府京都市下京区四条通高倉西入立売西町 ７９番地,京都府京都市下京区四条通高倉西入立売西町79,,"135.7622005,35.0041982"
アピタ精華台,京都府相楽郡精華町精華台９丁目２番地４,京都府相楽郡精華町精華台9-2-4,,"135.7707551,34.7466757"
プラサカプコン京都,京都府京都市右京区西院追分町２５－１イオンモール京都ハナ３Ｆ,京都府京都市右京区西院追分町25-1,イオンモール京都ハナ3F,"135.7272023,34.9972951"
